"";"name";"ID";"agreement_start";"creditcardnr";"default";"date_of_default"
"1";"Ulysses Hettinger";"931-17-4645";1991-11-01;"4787-1019-5140-7608";0;NA
"2";"Lloyd Willms";"459-63-6937";1996-12-23;"1423-5848-4701-9158";1;"2014-05-13"
"3";"Mauricio Grimes";"698-83-5462";2001-10-27;"9964-7951-1035-9580";0;NA
"4";"Christia Hartmann";"836-90-7041";1992-11-27;"9987-6974-4961-2100";0;NA
"5";"Viki Larkin";"341-55-1063";1994-05-18;"1721-9734-8088-3161";0;NA
"6";"Stephen McDermott";"235-50-9729";1999-10-01;"4576-5687-8850-6947";0;NA
"7";"Troy Berge";"634-11-1548";1995-11-10;"3478-7783-3591-2925";0;NA
"8";"Tory Hudson";"428-16-3128";2002-12-29;"9233-4769-3862-6641";0;NA
"9";"Rex Sporer";"800-81-7682";1995-07-02;"2262-7790-4892-2354";1;"2015-07-22"
"10";"Miyoko Herzog";"410-67-6715";1997-07-13;"6205-6534-7509-1589";1;"2015-03-12"
"11";"Charlyn Corwin";"501-18-9783";1990-08-04;"2508-5591-1827-4851";0;NA
"12";"Issac Collier";"726-39-5334";1996-08-23;"7420-8178-1732-9037";0;NA
"13";"Shelton Ryan";"452-23-8668";1992-06-21;"7542-7624-9635-6402";0;NA
"14";"Cary Denesik";"790-70-5243";2001-11-17;"8476-9307-6732-8072";0;NA
"15";"Lilia Herman";"543-96-2343";1996-01-10;"8266-6106-7472-1470";0;NA
"16";"Miguel Tremblay";"414-44-5391";2002-07-08;"8160-6620-1529-6718";0;NA
"17";"Jamaal White";"132-75-7837";2001-09-14;"8267-5310-5811-9475";0;NA
"18";"Allie Cummings";"781-35-2944";1998-01-08;"6025-3686-1272-4895";0;NA
"19";"Nisha Hoppe";"268-94-4669";1991-06-26;"8247-5563-1754-9497";0;NA
"20";"Rosann Luettgen";"347-11-2355";2003-09-23;"6949-9350-5878-4982";0;NA
"21";"Stacy Cruickshank";"337-22-5310";2002-07-01;"8634-2919-3668-7759";0;NA
"22";"Sherwood Breitenberg";"720-78-3252";1991-05-30;"1239-8949-2474-7924";0;NA
"23";"Savanna Christiansen";"714-79-1514";1992-09-02;"5988-3325-8681-2500";1;"2008-06-21"
"24";"Grazyna Wiegand";"498-98-7822";1992-01-25;"2155-5727-3271-6003";0;NA
"25";"Joanna Gusikowski";"827-80-2039";1998-08-19;"8418-9181-4306-7088";0;NA
"26";"Remedios Hermann";"394-17-3040";1993-05-19;"5238-7709-7230-9296";0;NA
