"";"ID";"value_mortgage";"value_nonmortgage"
"1";"931-17-4645";0;8955
"2";"459-63-6937";0;24888
"3";"698-83-5462";0;995
"4";"836-90-7041";0;4782
"5";"341-55-1063";335972;5647
"6";"235-50-9729";0;11391
"7";"634-11-1548";574319;8858
"8";"428-16-3128";377936;8836
"9";"800-81-7682";484713;6425
"10";"410-67-6715";0;10637
"11";"501-18-9783";0;7567
"12";"726-39-5334";465967;19732
"13";"452-23-8668";0;7474
"14";"790-70-5243";0;820
"15";"543-96-2343";0;10896
"16";"414-44-5391";0;2185
"17";"132-75-7837";517219;11537
"18";"781-35-2944";705114;1910
"19";"268-94-4669";0;17344
"20";"347-11-2355";0;28151
"21";"337-22-5310";0;4515
"22";"720-78-3252";0;9202
"23";"714-79-1514";0;8444
"24";"498-98-7822";0;1049
"25";"827-80-2039";0;8947
"26";"394-17-3040";0;2908
"27";"863-12-7130";0;9599
"28";"427-12-8252";0;5648
"29";"535-93-7229";0;10988
"30";"549-30-5189";0;7255
"31";"705-35-7171";0;7509
"32";"862-50-4981";0;1862
"33";"569-62-2075";0;7550
"34";"702-94-8501";224948;24034
"35";"249-30-5400";0;8119
"36";"149-29-5792";0;32720
"37";"294-33-2022";0;11064
"38";"988-59-3392";0;13215
"39";"621-47-7551";0;6856
"40";"552-19-8152";489374;10441
"41";"156-48-7137";0;14180
"42";"156-55-1923";0;6198
"43";"421-14-1792";0;1460
"44";"877-57-8221";0;11099
"45";"663-32-4636";0;3217
"46";"853-10-9035";0;9702
"47";"118-66-6818";324492;4440
"48";"444-66-2716";0;3769
"49";"347-58-3245";0;11754
"50";"411-21-1147";0;9991
"51";"895-37-2343";0;16346
"52";"902-77-1363";335625;9758
"53";"139-56-7975";469842;15334
"54";"768-97-2722";0;1044
"55";"666-86-2820";0;8192
"56";"626-55-9148";0;8880
"57";"117-76-9424";0;6104
"58";"438-39-5767";0;24474
"59";"725-28-9255";505204;4048
"60";"987-22-9729";0;4809
"61";"817-81-6939";0;8784
"62";"443-53-1014";0;5396
"63";"524-22-7687";0;7364
"64";"295-65-4663";669507;6044
"65";"333-81-9588";0;6260
"66";"710-68-1995";0;11938
"67";"963-45-2946";0;10784
"68";"454-25-4389";0;5235
"69";"516-48-9901";0;7343
"70";"123-90-8994";0;21683
"71";"434-23-6393";0;2899
"72";"837-25-7205";0;5842
"73";"942-76-1363";0;4922
"74";"650-97-7279";0;12479
"75";"293-50-3947";0;10524
"76";"926-66-6344";0;5411
"77";"772-64-9137";0;7410
"78";"772-42-4890";0;7177
"79";"758-91-7619";0;11991
"80";"291-26-9512";555993;502
"81";"735-75-5489";391971;4867
"82";"549-28-5363";0;1711
"83";"513-78-1606";0;5875
"84";"833-81-1454";0;7776
"85";"827-63-8063";0;3523
"86";"279-90-6696";0;18683
"87";"929-86-1770";718038;7267
"88";"714-48-2679";0;5661
"89";"104-13-2239";0;8242
"90";"565-54-4776";674065;4469
"91";"983-43-8962";0;18562
"92";"331-94-3640";0;21861
"93";"157-49-9226";0;25635
"94";"431-56-9411";0;6407
"95";"234-43-2737";0;6412
"96";"159-73-9965";0;9499
"97";"501-35-6814";0;697
"98";"924-73-1963";0;3241
"99";"941-22-2905";0;3393
"100";"373-97-8326";0;15261
"101";"591-71-8315";1225966;754
"102";"549-96-3125";0;12532
"103";"751-80-4010";0;19386
"104";"804-95-6720";599100;11980
"105";"912-77-2898";0;12819
"106";"717-26-3096";0;26398
"107";"349-90-3518";0;2706
"108";"299-22-3512";0;1244
"109";"126-74-1523";0;5717
"110";"229-56-3333";585920;3427
"111";"776-10-9937";519781;7875
"112";"912-77-7278";0;1905
"113";"426-31-6355";755970;5871
"114";"102-26-4623";634919;13200
"115";"784-33-6535";0;9470
"116";"105-55-6460";413349;3063
"117";"659-82-7285";0;9688
"118";"477-95-5433";0;21753
"119";"132-11-8139";0;4745
"120";"629-27-7130";0;8628
"121";"528-43-9832";0;2150
"122";"839-66-8776";0;3262
"123";"240-52-2457";0;13379
"124";"382-57-2017";0;10303
"125";"619-34-2463";0;1236
"126";"702-20-1700";0;3516
"127";"737-44-5405";0;11935
"128";"112-94-6469";473583;6222
"129";"957-26-5400";0;9218
"130";"240-60-1332";959724;5123
"131";"404-25-6466";280337;4405
"132";"799-29-5795";143916;16048
"133";"658-62-5574";655104;4029
"134";"440-32-6382";0;8532
"135";"253-96-5834";0;54748
"136";"524-19-5821";187837;6721
"137";"199-70-1648";0;18668
"138";"495-92-1781";0;5607
"139";"430-56-4065";0;7351
"140";"922-51-9474";0;13236
"141";"390-83-8453";0;22843
"142";"865-77-1919";0;18360
"143";"255-67-1611";0;16214
"144";"421-20-8401";732313;10690
"145";"550-32-9427";0;6943
"146";"783-99-8120";0;1429
"147";"867-57-5531";0;6200
"148";"853-88-1972";155348;8692
"149";"109-78-8765";531096;6131
"150";"391-18-3546";0;9828
"151";"564-70-2992";178668;3452
"152";"663-42-4438";300411;1967
"153";"619-87-4584";0;9081
"154";"410-61-4074";0;3693
"155";"211-23-4447";346544;3958
"156";"576-48-2919";326306;25963
"157";"561-81-4404";520117;17643
"158";"633-63-1227";0;17474
"159";"728-43-6117";0;1226
"160";"388-73-7489";299149;4729
"161";"921-75-4750";0;11616
"162";"878-94-7197";0;11189
"163";"546-74-1609";0;20885
"164";"539-21-7733";935781;36585
"165";"252-14-8753";925332;9018
"166";"122-97-3075";413385;2324
"167";"990-73-5705";0;4028
"168";"632-61-5013";776307;9292
"169";"610-45-2042";0;10854
"170";"948-86-2375";0;6505
"171";"567-31-3915";0;25177
"172";"705-24-5275";0;7072
"173";"296-15-9068";0;19590
"174";"542-94-2597";0;7275
"175";"288-50-6355";0;5071
"176";"275-75-3290";0;12579
"177";"342-59-1852";0;5078
"178";"692-11-2278";0;13413
"179";"479-21-6000";414869;5201
"180";"994-72-8809";0;4256
"181";"373-17-4322";329554;4005
"182";"722-52-6539";0;13305
"183";"225-40-4474";534927;5777
"184";"945-39-3197";0;9980
"185";"496-44-5846";824741;19671
"186";"335-62-1504";0;22556
"187";"246-98-1240";0;14895
"188";"114-19-8881";291788;7508
"189";"738-24-9958";0;11031
"190";"824-64-4970";0;10729
"191";"787-55-3064";0;2459
"192";"316-84-5824";921716;17982
"193";"219-44-2811";0;12283
"194";"409-19-1201";0;23689
"195";"574-59-5439";0;2854
"196";"291-11-9573";650688;5216
"197";"162-52-6452";0;9080
"198";"314-96-8361";0;11045
"199";"577-65-7730";0;11738
"200";"428-13-4680";0;7369
"201";"283-66-3936";685906;6687
"202";"406-68-8316";0;12628
"203";"580-21-7748";0;13920
"204";"685-92-1705";515915;21343
"205";"291-79-6071";0;15570
"206";"625-98-8865";0;5053
"207";"105-40-9495";0;13930
"208";"354-28-4605";0;5120
"209";"290-17-6262";0;5316
"210";"664-74-8049";0;1089
"211";"977-69-2310";255921;10592
"212";"647-76-5168";0;3618
"213";"451-23-9366";0;43356
"214";"868-62-5918";0;9959
"215";"544-19-8266";0;16216
"216";"585-14-7637";417037;3763
"217";"908-98-7615";0;8726
"218";"182-15-2346";0;2984
"219";"282-85-2886";534860;5676
"220";"620-32-6044";0;11824
"221";"276-16-8258";0;5335
"222";"321-90-1578";0;8260
"223";"315-20-2273";0;7243
"224";"737-98-3782";450731;4971
"225";"298-70-8485";0;3197
"226";"688-74-4111";0;4198
"227";"755-47-5467";0;18678
"228";"702-70-7482";0;9171
"229";"797-98-8872";0;8007
"230";"352-58-4772";0;1300
"231";"405-13-9132";0;9427
"232";"234-61-7606";0;1185
"233";"448-96-8170";0;4400
"234";"870-75-8866";270084;6251
"235";"186-55-1806";0;7055
"236";"148-67-8991";0;16377
"237";"103-57-3052";458040;4401
"238";"934-90-9668";439847;12233
"239";"612-38-7746";467701;6010
"240";"882-34-6679";0;27454
"241";"815-81-9243";424567;6877
"242";"160-25-6381";0;8936
"243";"109-73-4546";0;7605
"244";"140-58-7724";0;3996
"245";"581-90-5500";0;7523
"246";"691-56-7354";0;7810
"247";"395-14-5278";0;4443
"248";"670-22-2283";1013051;18596
"249";"697-40-8549";545054;4510
"250";"575-75-8143";0;7631
"251";"948-10-2909";667309;15525
"252";"957-26-2157";287572;7533
"253";"643-33-5082";257725;1162
"254";"172-74-2976";0;5105
"255";"493-69-3712";0;2498
"256";"531-22-5788";0;22077
"257";"216-70-7709";0;4915
"258";"146-39-8877";401268;11556
"259";"723-19-4824";0;11002
"260";"316-86-5629";1116101;4970
"261";"520-21-1464";283314;11545
"262";"607-19-7187";122677;8223
"263";"412-47-2397";0;1488
"264";"190-54-6484";0;10822
"265";"204-98-2891";0;8450
"266";"401-35-1319";0;1185
"267";"162-26-1401";0;20323
"268";"848-78-3731";0;8543
"269";"718-96-9776";0;2622
"270";"945-49-3066";344086;20057
"271";"950-74-9038";0;2489
"272";"378-33-8362";529179;10676
"273";"203-50-2938";0;11093
"274";"478-30-2601";0;4715
"275";"424-45-3142";0;6225
"276";"975-16-1037";0;4910
"277";"149-68-1068";0;8855
"278";"958-88-5185";315369;3415
"279";"780-22-1858";894717;2182
"280";"244-78-6762";0;2676
"281";"865-55-2962";0;7402
"282";"169-34-6313";0;3154
"283";"478-10-1384";0;8905
"284";"911-42-6432";0;22768
"285";"606-54-1638";0;8558
"286";"357-37-2059";0;5694
"287";"570-73-9792";0;9856
"288";"556-60-2535";725898;8147
"289";"163-16-5856";94735;15915
"290";"421-93-8900";293616;5579
"291";"536-72-6383";0;4447
"292";"597-42-5675";0;5565
"293";"672-70-9558";621436;3736
"294";"388-38-8303";337673;3017
"295";"722-21-9448";0;10720
"296";"175-33-9208";285120;26433
"297";"163-12-1364";372661;15286
"298";"758-17-3811";0;6529
"299";"603-33-5999";0;20167
"300";"535-85-1243";505239;6346
"301";"277-76-4662";0;25999
"302";"234-48-7640";0;5002
"303";"702-62-3324";706835;1539
"304";"356-32-9583";0;10571
"305";"785-66-6406";0;6896
"306";"445-54-5064";0;13159
"307";"927-13-7937";0;2085
"308";"872-38-4661";408710;1760
"309";"846-12-5584";0;4859
"310";"954-98-2165";0;10739
"311";"541-64-1676";489995;6281
"312";"615-57-7692";0;29692
"313";"495-16-7872";0;4751
"314";"790-27-8842";227777;7669
"315";"832-39-9964";575018;7967
"316";"182-39-4442";0;27428
"317";"401-66-5209";0;3696
"318";"407-56-7834";0;5278
"319";"397-56-7225";0;16166
"320";"833-90-5961";0;13848
"321";"206-45-3820";313758;17251
"322";"545-40-7102";0;9534
"323";"569-37-3250";0;20570
"324";"255-84-5490";0;7879
"325";"905-10-7186";0;8354
"326";"566-99-3146";0;10133
"327";"362-25-6141";363435;5391
"328";"849-19-8378";0;3287
"329";"535-77-1508";0;11122
"330";"501-94-4355";581229;9467
"331";"441-39-8225";810411;22642
"332";"242-45-2647";0;2565
"333";"988-96-7411";0;2193
"334";"321-80-4788";0;4905
"335";"820-65-6905";495629;17403
"336";"902-69-1934";0;22282
"337";"130-77-8967";608997;8154
"338";"938-54-6239";0;2046
"339";"482-16-8820";0;8084
"340";"506-53-9241";0;17895
"341";"610-35-7524";0;3355
"342";"417-50-1527";701192;5635
"343";"807-34-4803";0;11777
"344";"400-30-9585";0;19225
"345";"839-56-3407";0;5955
"346";"778-81-6849";0;10111
"347";"697-46-6333";0;7769
"348";"257-95-6825";0;15771
"349";"768-11-7325";0;6807
"350";"121-79-7145";0;12864
"351";"583-51-7984";0;21162
"352";"518-87-4324";0;15078
"353";"236-21-3586";0;16176
"354";"869-76-1716";594799;6170
"355";"684-85-1180";0;6218
"356";"232-42-7955";368489;3798
"357";"632-91-7177";0;9866
"358";"877-75-1521";0;15750
"359";"148-67-7618";153655;17678
"360";"130-15-1606";0;14119
"361";"727-30-9346";0;4510
"362";"151-23-9543";1202993;8160
"363";"404-18-1400";0;8087
"364";"429-43-3943";0;7680
"365";"675-58-4713";0;3942
"366";"986-91-5307";0;7959
"367";"911-49-2827";538233;3046
"368";"673-15-2913";257718;6566
"369";"131-98-6600";0;10049
"370";"126-68-6659";0;12048
"371";"901-52-4991";215185;6246
"372";"265-24-2196";0;8696
"373";"613-74-5050";0;4884
"374";"688-94-2968";0;5305
"375";"238-64-2486";0;8469
"376";"174-93-1191";0;2734
"377";"976-51-6349";0;12156
"378";"119-12-1933";0;3924
"379";"894-62-6811";608159;8481
"380";"721-91-3540";340232;9998
"381";"276-58-8675";743599;12597
"382";"990-73-2694";734768;25907
"383";"369-55-4428";0;3412
"384";"525-11-6873";0;2954
"385";"612-17-3453";0;9154
"386";"109-25-2015";0;2615
"387";"931-13-9948";0;2843
"388";"444-19-4613";764295;9011
"389";"414-60-8556";0;1447
"390";"606-91-3274";376654;2531
"391";"545-22-1914";0;5088
"392";"709-27-6709";980950;954
"393";"383-75-8212";0;3956
"394";"222-44-9899";0;10262
"395";"945-28-6412";0;9277
"396";"956-81-4678";0;20887
"397";"808-38-1570";0;17346
"398";"549-95-9239";589389;9031
"399";"631-81-4419";0;8659
"400";"264-66-1723";0;8391
